,precision,recall,f1-score,support
0,0.9918616480162767,0.9948979591836735,0.9933774834437086,980.0
1,0.9921121822962313,0.9973568281938326,0.9947275922671353,1135.0
2,0.9951219512195122,0.9883720930232558,0.9917355371900826,1032.0
3,0.9882005899705014,0.995049504950495,0.9916132215096202,1010.0
4,0.9888663967611336,0.994908350305499,0.9918781725888325,982.0
5,0.9865470852017937,0.9865470852017937,0.9865470852017937,892.0
6,0.9936842105263158,0.9853862212943633,0.989517819706499,958.0
7,0.9854791868344628,0.9902723735408561,0.9878699660359049,1028.0
8,0.9897645854657113,0.9928131416837782,0.9912865197334699,974.0
9,0.9949698189134809,0.9801783944499505,0.9875187219171244,1009.0
accuracy,0.9907,0.9907,0.9907,0.9907
macro avg,0.9906607655205418,0.9905781951827498,0.9906072119594171,10000.0
weighted avg,0.9907164324387693,0.9907,0.9906958401583663,10000.0
