,precision,recall,f1-score,support
0,0.995880535530381,0.986734693877551,0.9912865197334699,980.0
1,0.9912434325744308,0.9973568281938326,0.9942907334211682,1135.0
2,0.997020854021847,0.9728682170542635,0.9847964688572829,1032.0
3,0.9814271749755621,0.994059405940594,0.9877029021151008,1010.0
4,0.9848484848484849,0.9928716904276986,0.988843813387424,982.0
5,0.9887260428410372,0.9831838565022422,0.985947161326588,892.0
6,0.9895287958115183,0.9864300626304802,0.9879769994772608,958.0
7,0.9836538461538461,0.995136186770428,0.9893617021276596,1028.0
8,0.9815573770491803,0.9835728952772074,0.9825641025641025,974.0
9,0.9871159563924677,0.9871159563924677,0.9871159563924677,1009.0
accuracy,0.9881,0.9881,0.9881,0.9881
macro avg,0.9881002500198756,0.9879329793066767,0.9879886359402527,10000.0
weighted avg,0.9881457656682524,0.9881,0.9880943382602447,10000.0
