Adam,Adam w/o bias correction
tensor(48.0283),tensor(72.0483)
tensor(76.1650),tensor(85.0517)
tensor(82.5700),tensor(87.7117)
tensor(85.7517),tensor(89.3883)
tensor(87.7633),tensor(90.5950)
tensor(89.1183),tensor(91.3967)
tensor(90.1433),tensor(92.0733)
tensor(90.8900),tensor(92.5783)
tensor(91.5217),tensor(93.0333)
tensor(92.0967),tensor(93.4667)
tensor(92.4950),tensor(93.8133)
tensor(92.9250),tensor(94.1500)
tensor(93.3167),tensor(94.4167)
tensor(93.6367),tensor(94.6883)
tensor(93.9800),tensor(94.9200)
tensor(94.2433),tensor(95.1300)
tensor(94.5167),tensor(95.3350)
tensor(94.7617),tensor(95.5267)
tensor(95.0117),tensor(95.7367)
tensor(95.2133),tensor(95.9033)
tensor(95.3783),tensor(96.0267)
tensor(95.5383),tensor(96.1550)
tensor(95.6983),tensor(96.2650)
tensor(95.8383),tensor(96.3917)
tensor(95.9817),tensor(96.4900)
tensor(96.1167),tensor(96.5783)
tensor(96.2333),tensor(96.6617)
tensor(96.3483),tensor(96.7450)
tensor(96.4433),tensor(96.8133)
tensor(96.5267),tensor(96.8900)
tensor(96.6233),tensor(96.9700)
tensor(96.7133),tensor(97.0233)
tensor(96.7700),tensor(97.0817)
tensor(96.8433),tensor(97.1433)
tensor(96.9167),tensor(97.2017)
tensor(96.9817),tensor(97.2567)
tensor(97.0333),tensor(97.3000)
tensor(97.1167),tensor(97.3533)
tensor(97.1650),tensor(97.3967)
tensor(97.2117),tensor(97.4350)
tensor(97.2600),tensor(97.4717)
tensor(97.2900),tensor(97.5150)
tensor(97.3133),tensor(97.5400)
tensor(97.3467),tensor(97.5867)
tensor(97.3967),tensor(97.6317)
tensor(97.4300),tensor(97.6650)
tensor(97.4583),tensor(97.7083)
tensor(97.5067),tensor(97.7383)
tensor(97.5417),tensor(97.7650)
tensor(97.5717),tensor(97.8117)
tensor(97.6033),tensor(97.8350)
tensor(97.6233),tensor(97.8767)
tensor(97.6683),tensor(97.9067)
tensor(97.6867),tensor(97.9333)
tensor(97.7117),tensor(97.9633)
tensor(97.7417),tensor(97.9850)
tensor(97.7650),tensor(97.9967)
tensor(97.7967),tensor(98.0250)
tensor(97.8200),tensor(98.0550)
tensor(97.8467),tensor(98.0817)
tensor(97.8717),tensor(98.1017)
tensor(97.8933),tensor(98.1217)
tensor(97.9183),tensor(98.1367)
tensor(97.9417),tensor(98.1517)
tensor(97.9717),tensor(98.1700)
tensor(97.9917),tensor(98.1933)
tensor(98.0200),tensor(98.2133)
tensor(98.0367),tensor(98.2283)
tensor(98.0550),tensor(98.2467)
tensor(98.0733),tensor(98.2600)
tensor(98.0850),tensor(98.2800)
tensor(98.1067),tensor(98.2917)
tensor(98.1233),tensor(98.3000)
tensor(98.1300),tensor(98.3167)
tensor(98.1467),tensor(98.3383)
tensor(98.1533),tensor(98.3583)
tensor(98.1667),tensor(98.3667)
tensor(98.1850),tensor(98.3833)
tensor(98.2017),tensor(98.4000)
tensor(98.2233),tensor(98.4167)
tensor(98.2433),tensor(98.4250)
tensor(98.2717),tensor(98.4383)
tensor(98.2850),tensor(98.4417)
tensor(98.3017),tensor(98.4550)
tensor(98.3183),tensor(98.4700)
tensor(98.3350),tensor(98.4783)
tensor(98.3550),tensor(98.4917)
tensor(98.3633),tensor(98.5083)
tensor(98.3733),tensor(98.5267)
tensor(98.3900),tensor(98.5350)
tensor(98.3983),tensor(98.5467)
tensor(98.4167),tensor(98.5567)
tensor(98.4283),tensor(98.5700)
tensor(98.4300),tensor(98.5767)
tensor(98.4450),tensor(98.5883)
tensor(98.4583),tensor(98.5933)
tensor(98.4700),tensor(98.6067)
tensor(98.4800),tensor(98.6100)
tensor(98.4933),tensor(98.6150)
tensor(98.5000),tensor(98.6267)
