,precision,recall,f1-score,support
0,0.9938650306748467,0.9918367346938776,0.9928498467824312,980.0
1,0.9912357581069238,0.9964757709251101,0.9938488576449912,1135.0
2,0.9950787401574803,0.9796511627906976,0.9873046875,1032.0
3,0.9910891089108911,0.9910891089108911,0.9910891089108911,1010.0
4,0.9888211382113821,0.9908350305498982,0.9898270600203457,982.0
5,0.9854748603351955,0.9887892376681614,0.987129266927812,892.0
6,0.9937238493723849,0.9916492693110647,0.9926854754440961,958.0
7,0.9874638379942141,0.9961089494163424,0.991767554479419,1028.0
8,0.9867075664621677,0.9907597535934292,0.9887295081967212,974.0
9,0.9890547263681592,0.9851337958374629,0.9870903674280039,1009.0
accuracy,0.9903,0.9903,0.9903,0.9903
macro avg,0.9902514616593645,0.9902328813696937,0.9902321733334712,10000.0
weighted avg,0.990313717029422,0.9903,0.9902965673012184,10000.0
