,precision,recall,f1-score,support
0,0.9979550102249489,0.9959183673469387,0.9969356486210418,980.0
1,0.9912203687445127,0.9947136563876652,0.9929639401934917,1135.0
2,0.9931840311587147,0.9883720930232558,0.9907722195240408,1032.0
3,0.9882121807465619,0.996039603960396,0.9921104536489151,1010.0
4,0.9897645854657113,0.984725050916497,0.9872383869321082,982.0
5,0.9932203389830508,0.9854260089686099,0.9893078221722004,892.0
6,0.9875389408099688,0.9926931106471816,0.9901093180635084,958.0
7,0.9902439024390244,0.9873540856031129,0.9887968826108134,1028.0
8,0.9867482161060143,0.9938398357289527,0.9902813299232736,974.0
9,0.9860973187686196,0.9841427155599604,0.9851190476190476,1009.0
accuracy,0.9904,0.9904,0.9904,0.9904
macro avg,0.9904184893447127,0.9903224528142569,0.9903635049308441,10000.0
weighted avg,0.9904090610683567,0.9904,0.9903977226269026,10000.0
