,precision,recall,f1-score,support
0,0.9808853118712274,0.9948979591836735,0.9878419452887538,980.0
1,0.9886064855390009,0.9938325991189427,0.9912126537785589,1135.0
2,0.9815891472868217,0.9815891472868217,0.9815891472868217,1032.0
3,0.9880715705765407,0.9841584158415841,0.986111111111111,1010.0
4,0.9847715736040609,0.9877800407331976,0.9862735129639044,982.0
5,0.982202447163515,0.9899103139013453,0.9860413176996091,892.0
6,0.9936775553213909,0.9843423799582464,0.9889879391714734,958.0
7,0.9776915615906887,0.980544747081712,0.9791160757649344,1028.0
8,0.9794450154162384,0.9784394250513347,0.9789419619928096,974.0
9,0.98989898989899,0.9712586719524281,0.9804902451225612,1009.0
accuracy,0.9847,0.9847,0.9847,0.9847
macro avg,0.9846839658268476,0.9846753700109285,0.9846605910180537,10000.0
weighted avg,0.9847256070288537,0.9847,0.9846939035684756,10000.0
