Adam,Adam w/o bias correction
tensor(92.5100),tensor(95.6150)
tensor(97.6267),tensor(98.2717)
tensor(98.2600),tensor(98.6800)
tensor(98.6333),tensor(98.9450)
tensor(98.8783),tensor(99.1267)
tensor(99.0567),tensor(99.2550)
tensor(99.2000),tensor(99.3683)
tensor(99.2933),tensor(99.5000)
tensor(99.3867),tensor(99.5783)
tensor(99.5000),tensor(99.6567)
tensor(99.5900),tensor(99.7200)
tensor(99.6767),tensor(99.7850)
tensor(99.7417),tensor(99.8400)
tensor(99.7733),tensor(99.8633)
tensor(99.7950),tensor(99.8933)
tensor(99.8300),tensor(99.8633)
tensor(99.8267),tensor(99.8733)
tensor(99.8467),tensor(99.8967)
tensor(99.8633),tensor(99.9117)
tensor(99.8483),tensor(99.9133)
tensor(99.9100),tensor(99.9350)
tensor(99.9133),tensor(99.8850)
tensor(99.8933),tensor(99.9433)
tensor(99.8667),tensor(99.9083)
tensor(99.9250),tensor(99.9700)
tensor(99.9167),tensor(99.9017)
tensor(99.9150),tensor(99.9233)
tensor(99.9133),tensor(99.9600)
tensor(99.9533),tensor(99.9367)
tensor(99.9317),tensor(99.9783)
tensor(99.9483),tensor(99.9700)
tensor(99.9067),tensor(99.9183)
tensor(99.9267),tensor(99.9717)
tensor(99.9533),tensor(99.9550)
tensor(99.9883),tensor(99.9467)
tensor(99.8950),tensor(99.9750)
tensor(99.9767),tensor(99.9117)
tensor(99.9883),tensor(99.9900)
tensor(99.9533),tensor(100.)
tensor(99.9183),tensor(100.)
tensor(99.9783),tensor(100.)
tensor(99.9733),tensor(100.)
tensor(99.9517),tensor(100.)
tensor(99.9367),tensor(100.)
tensor(99.9650),tensor(100.)
tensor(99.9567),tensor(99.8600)
tensor(99.9800),tensor(99.9533)
tensor(99.9700),tensor(99.9933)
tensor(99.9350),tensor(99.9967)
tensor(99.9717),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(99.8600),tensor(100.)
tensor(99.9933),tensor(100.)
tensor(100.),tensor(99.9250)
tensor(100.),tensor(99.9067)
tensor(100.),tensor(99.9950)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(99.9017),tensor(100.)
tensor(99.9550),tensor(100.)
tensor(99.9933),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(99.8150)
tensor(100.),tensor(99.9850)
tensor(100.),tensor(99.9833)
tensor(100.),tensor(99.9450)
tensor(100.),tensor(99.9483)
tensor(100.),tensor(99.9933)
tensor(100.),tensor(99.9183)
tensor(100.),tensor(99.9783)
tensor(99.9117),tensor(99.9917)
tensor(99.9383),tensor(99.9650)
tensor(99.9833),tensor(99.9483)
tensor(100.),tensor(99.9867)
tensor(100.),tensor(99.9667)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
tensor(100.),tensor(100.)
