Adam,AdamW
tensor(84.1767),tensor(83.4617)
tensor(94.5567),tensor(94.1533)
tensor(96.0533),tensor(95.8467)
tensor(96.8333),tensor(96.6767)
tensor(97.2633),tensor(97.1850)
tensor(97.6050),tensor(97.5067)
tensor(97.8100),tensor(97.7533)
tensor(97.9600),tensor(97.9467)
tensor(98.1000),tensor(98.1433)
tensor(98.2033),tensor(98.2667)
tensor(98.2883),tensor(98.3733)
tensor(98.3750),tensor(98.4700)
tensor(98.4467),tensor(98.5800)
tensor(98.5017),tensor(98.6367)
tensor(98.5667),tensor(98.6900)
tensor(98.6183),tensor(98.7533)
tensor(98.6550),tensor(98.8017)
tensor(98.6967),tensor(98.8417)
tensor(98.7150),tensor(98.9150)
tensor(98.7467),tensor(98.9617)
tensor(98.7767),tensor(99.0200)
tensor(98.8017),tensor(99.0467)
tensor(98.8300),tensor(99.0683)
tensor(98.8550),tensor(99.0983)
tensor(98.8767),tensor(99.1250)
tensor(98.9017),tensor(99.1617)
tensor(98.9267),tensor(99.1800)
tensor(98.9517),tensor(99.2167)
tensor(98.9683),tensor(99.2533)
tensor(98.9817),tensor(99.2833)
tensor(99.0017),tensor(99.3050)
tensor(99.0200),tensor(99.3200)
tensor(99.0433),tensor(99.3433)
tensor(99.0550),tensor(99.3633)
tensor(99.0700),tensor(99.3900)
tensor(99.0867),tensor(99.4167)
tensor(99.0950),tensor(99.4317)
tensor(99.1050),tensor(99.4483)
tensor(99.1117),tensor(99.4683)
tensor(99.1250),tensor(99.4917)
tensor(99.1400),tensor(99.5050)
tensor(99.1500),tensor(99.5300)
tensor(99.1517),tensor(99.5433)
tensor(99.1583),tensor(99.5600)
tensor(99.1700),tensor(99.5800)
tensor(99.1750),tensor(99.5950)
tensor(99.1983),tensor(99.6033)
tensor(99.2017),tensor(99.6217)
tensor(99.2117),tensor(99.6400)
tensor(99.2250),tensor(99.6500)
tensor(99.2267),tensor(99.6650)
tensor(99.2333),tensor(99.6883)
tensor(99.2433),tensor(99.7133)
tensor(99.2483),tensor(99.7317)
tensor(99.2617),tensor(99.7567)
tensor(99.2717),tensor(99.7750)
tensor(99.2800),tensor(99.7950)
tensor(99.2917),tensor(99.8033)
tensor(99.2933),tensor(99.8167)
tensor(99.2950),tensor(99.8183)
tensor(99.3050),tensor(99.8367)
tensor(99.3117),tensor(99.8450)
tensor(99.3167),tensor(99.8567)
tensor(99.3217),tensor(99.8583)
tensor(99.3283),tensor(99.8683)
tensor(99.3367),tensor(99.8783)
tensor(99.3383),tensor(99.8883)
tensor(99.3433),tensor(99.8983)
tensor(99.3467),tensor(99.9017)
tensor(99.3533),tensor(99.9067)
tensor(99.3600),tensor(99.9133)
tensor(99.3650),tensor(99.9150)
tensor(99.3683),tensor(99.9200)
tensor(99.3750),tensor(99.9267)
tensor(99.3783),tensor(99.9300)
tensor(99.3800),tensor(99.9367)
tensor(99.3883),tensor(99.9433)
tensor(99.3883),tensor(99.9467)
tensor(99.3917),tensor(99.9517)
tensor(99.3917),tensor(99.9600)
tensor(99.3933),tensor(99.9583)
tensor(99.3983),tensor(99.9600)
tensor(99.4033),tensor(99.9650)
tensor(99.4083),tensor(99.9667)
tensor(99.4117),tensor(99.9683)
tensor(99.4117),tensor(99.9683)
tensor(99.4150),tensor(99.9750)
tensor(99.4167),tensor(99.9750)
tensor(99.4217),tensor(99.9800)
tensor(99.4200),tensor(99.9817)
tensor(99.4233),tensor(99.9817)
tensor(99.4250),tensor(99.9833)
tensor(99.4283),tensor(99.9850)
tensor(99.4350),tensor(99.9850)
tensor(99.4383),tensor(99.9850)
tensor(99.4483),tensor(99.9867)
tensor(99.4467),tensor(99.9883)
tensor(99.4550),tensor(99.9900)
tensor(99.4567),tensor(99.9517)
tensor(99.4583),tensor(99.9117)
