,precision,recall,f1-score,support
0,0.9760239760239761,0.996938775510204,0.9863705199394246,980.0
1,0.9938434476693052,0.9955947136563876,0.9947183098591549,1135.0
2,0.9873663751214772,0.9844961240310077,0.9859291606016497,1032.0
3,0.9930417495029821,0.9891089108910891,0.9910714285714285,1010.0
4,0.9760239760239761,0.994908350305499,0.9853756933938478,982.0
5,0.9866071428571429,0.9910313901345291,0.9888143176733781,892.0
6,0.9947033898305084,0.9801670146137788,0.9873817034700316,958.0
7,0.9921568627450981,0.9844357976653697,0.98828125,1028.0
8,0.989648033126294,0.9815195071868583,0.9855670103092783,974.0
9,0.989,0.9801783944499505,0.98456943753111,1009.0
accuracy,0.9879,0.9879,0.9879,0.9879
macro avg,0.987841495290076,0.9878378978444674,0.9878078831349304,10000.0
weighted avg,0.9879640478240249,0.9879,0.987900835754065,10000.0
