,precision,recall,f1-score,support
0,0.9828801611278952,0.9959183673469387,0.9893563101875317,980.0
1,0.9955947136563876,0.9955947136563876,0.9955947136563876,1135.0
2,0.9902248289345064,0.9815891472868217,0.9858880778588808,1032.0
3,0.995004995004995,0.9861386138613861,0.9905519641969168,1010.0
4,0.9827760891590679,0.9877800407331976,0.9852717115286947,982.0
5,0.9832589285714286,0.9876681614349776,0.9854586129753915,892.0
6,0.9926315789473684,0.9843423799582464,0.9884696016771488,958.0
7,0.9902629016553067,0.9892996108949417,0.9897810218978101,1028.0
8,0.9855670103092784,0.9815195071868583,0.9835390946502058,974.0
9,0.9783889980353635,0.9871159563924677,0.9827331031080415,1009.0
accuracy,0.9878,0.9878,0.9878,0.9878
macro avg,0.9876590205401599,0.9876966498752224,0.9876644211737009,10000.0
weighted avg,0.9878310792752866,0.9878,0.987802261581123,10000.0
