Adam,AdamW
tensor(93.0200),tensor(94.2133)
tensor(96.5383),tensor(98.)
tensor(96.7100),tensor(98.5633)
tensor(96.8083),tensor(98.9117)
tensor(96.8817),tensor(99.1400)
tensor(96.9350),tensor(99.3050)
tensor(96.9417),tensor(99.4333)
tensor(96.9833),tensor(99.5667)
tensor(97.0067),tensor(99.6600)
tensor(97.0100),tensor(99.7017)
tensor(96.9867),tensor(99.7467)
tensor(97.0150),tensor(99.7717)
tensor(97.0283),tensor(99.7900)
tensor(97.0100),tensor(99.8200)
tensor(97.0200),tensor(99.8117)
tensor(97.0217),tensor(99.8517)
tensor(97.0150),tensor(99.8367)
tensor(97.0333),tensor(99.8533)
tensor(97.0417),tensor(99.9150)
tensor(97.0283),tensor(99.8917)
tensor(97.0400),tensor(99.8417)
tensor(97.0350),tensor(99.9050)
tensor(97.0133),tensor(99.9167)
tensor(97.0417),tensor(99.8867)
tensor(97.0900),tensor(99.9083)
tensor(97.0650),tensor(99.8917)
tensor(97.0583),tensor(99.9117)
tensor(97.0733),tensor(99.9150)
tensor(97.0833),tensor(99.9283)
tensor(97.0767),tensor(99.9283)
tensor(97.0667),tensor(99.9117)
tensor(97.0800),tensor(99.9367)
tensor(97.0933),tensor(99.9733)
tensor(97.0700),tensor(99.9017)
tensor(97.0933),tensor(99.9400)
tensor(97.0733),tensor(99.9567)
tensor(97.0900),tensor(99.9450)
tensor(97.1183),tensor(99.9117)
tensor(97.0933),tensor(99.9550)
tensor(97.0933),tensor(99.9183)
tensor(97.0867),tensor(99.9767)
tensor(97.0850),tensor(99.9700)
tensor(97.0833),tensor(99.9033)
tensor(97.0783),tensor(99.9417)
tensor(97.0983),tensor(99.9517)
tensor(97.0833),tensor(99.9817)
tensor(97.0683),tensor(99.9300)
tensor(97.0733),tensor(99.9650)
tensor(97.1050),tensor(99.9367)
tensor(97.0767),tensor(99.9933)
tensor(97.0767),tensor(99.9217)
tensor(97.0733),tensor(99.9500)
tensor(97.0767),tensor(99.9450)
tensor(97.0867),tensor(99.9783)
tensor(97.1183),tensor(99.9717)
tensor(97.0850),tensor(99.9567)
tensor(97.1167),tensor(99.9317)
tensor(97.0950),tensor(99.9883)
tensor(97.1033),tensor(99.9967)
tensor(97.0917),tensor(100.)
tensor(97.1100),tensor(100.)
tensor(97.1167),tensor(100.)
tensor(97.0933),tensor(100.)
tensor(97.0700),tensor(100.)
tensor(97.1083),tensor(100.)
tensor(97.1033),tensor(100.)
tensor(97.1233),tensor(99.8850)
tensor(97.1183),tensor(99.9100)
tensor(97.1000),tensor(99.9800)
tensor(97.1050),tensor(99.9967)
tensor(97.1083),tensor(100.)
tensor(97.1233),tensor(100.)
tensor(97.1300),tensor(100.)
tensor(97.1100),tensor(100.)
tensor(97.1300),tensor(100.)
tensor(97.1467),tensor(100.)
tensor(97.1200),tensor(100.)
tensor(97.1317),tensor(100.)
tensor(97.1333),tensor(99.9050)
tensor(97.1283),tensor(99.9000)
tensor(97.1550),tensor(99.9933)
tensor(97.1317),tensor(99.9950)
tensor(97.1417),tensor(100.)
tensor(97.1600),tensor(100.)
tensor(97.1467),tensor(100.)
tensor(97.1517),tensor(100.)
tensor(97.1417),tensor(100.)
tensor(97.1550),tensor(100.)
tensor(97.1583),tensor(100.)
tensor(97.1167),tensor(100.)
tensor(97.1317),tensor(99.9450)
tensor(97.1633),tensor(99.8517)
tensor(97.1583),tensor(99.9483)
tensor(97.1650),tensor(99.9883)
tensor(97.1283),tensor(100.)
tensor(97.1267),tensor(100.)
tensor(97.1533),tensor(100.)
tensor(97.1450),tensor(100.)
tensor(97.1533),tensor(100.)
tensor(97.1450),tensor(100.)
